nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 MNIST      | Train Loss: 0.1034 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.3719 | Train Acc: 0.9731
 USPS       | Train Loss: 0.0825 | Train Acc: 0.9987
 SynthDigits| Train Loss: 0.2216 | Train Acc: 0.9933
 MNIST-M    | Train Loss: 0.2072 | Train Acc: 0.9946
 MNIST      | Test  Loss: 0.2272 | Test  Acc: 0.9560
 SVHN       | Test  Loss: 1.1119 | Test  Acc: 0.6619
 USPS       | Test  Loss: 0.2172 | Test  Acc: 0.9527
 SynthDigits| Test  Loss: 0.7446 | Test  Acc: 0.7868
 MNIST-M    | Test  Loss: 0.8175 | Test  Acc: 0.7591
============ Train epoch 13 ============
 MNIST      | Train Loss: 0.0760 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.3534 | Train Acc: 0.9812
 USPS       | Train Loss: 0.0741 | Train Acc: 0.9946
 SynthDigits| Train Loss: 0.1935 | Train Acc: 0.9933
 MNIST-M    | Train Loss: 0.1787 | Train Acc: 0.9960
 MNIST      | Test  Loss: 0.2093 | Test  Acc: 0.9581
 SVHN       | Test  Loss: 1.1135 | Test  Acc: 0.6645
 USPS       | Test  Loss: 0.2002 | Test  Acc: 0.9500
 SynthDigits| Test  Loss: 0.7309 | Test  Acc: 0.7888
 MNIST-M    | Test  Loss: 0.7914 | Test  Acc: 0.7668
============ Train epoch 14 ============
 MNIST      | Train Loss: 0.0770 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.2891 | Train Acc: 0.9879
 USPS       | Train Loss: 0.0635 | Train Acc: 0.9973
 SynthDigits| Train Loss: 0.1579 | Train Acc: 0.9973
 MNIST-M    | Train Loss: 0.1641 | Train Acc: 0.9960
 MNIST      | Test  Loss: 0.2168 | Test  Acc: 0.9564
 SVHN       | Test  Loss: 1.0937 | Test  Acc: 0.6642
 USPS       | Test  Loss: 0.1889 | Test  Acc: 0.9543
 SynthDigits| Test  Loss: 0.6994 | Test  Acc: 0.7968
 MNIST-M    | Test  Loss: 0.7863 | Test  Acc: 0.7662
============ Train epoch 15 ============
 MNIST      | Train Loss: 0.0576 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.2706 | Train Acc: 0.9865
 USPS       | Train Loss: 0.0564 | Train Acc: 0.9987
 SynthDigits| Train Loss: 0.1464 | Train Acc: 0.9973
 MNIST-M    | Train Loss: 0.1370 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1923 | Test  Acc: 0.9594
 SVHN       | Test  Loss: 1.0718 | Test  Acc: 0.6669
 USPS       | Test  Loss: 0.1875 | Test  Acc: 0.9554
 SynthDigits| Test  Loss: 0.6882 | Test  Acc: 0.7997
 MNIST-M    | Test  Loss: 0.7680 | Test  Acc: 0.7726
============ Train epoch 16 ============
 MNIST      | Train Loss: 0.0543 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.2131 | Train Acc: 0.9946
 USPS       | Train Loss: 0.0516 | Train Acc: 0.9987
 SynthDigits| Train Loss: 0.1350 | Train Acc: 0.9946
 MNIST-M    | Train Loss: 0.1325 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1920 | Test  Acc: 0.9571
 SVHN       | Test  Loss: 1.0580 | Test  Acc: 0.6697
 USPS       | Test  Loss: 0.1790 | Test  Acc: 0.9575
 SynthDigits| Test  Loss: 0.6960 | Test  Acc: 0.7926
 MNIST-M    | Test  Loss: 0.7689 | Test  Acc: 0.7729
============ Train epoch 17 ============
 MNIST      | Train Loss: 0.0495 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.2118 | Train Acc: 0.9906
 USPS       | Train Loss: 0.0403 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.1188 | Train Acc: 0.9946
 MNIST-M    | Train Loss: 0.1236 | Train Acc: 0.9960
 MNIST      | Test  Loss: 0.1860 | Test  Acc: 0.9601
 SVHN       | Test  Loss: 1.0725 | Test  Acc: 0.6607
 USPS       | Test  Loss: 0.1729 | Test  Acc: 0.9591
 SynthDigits| Test  Loss: 0.6880 | Test  Acc: 0.7920
 MNIST-M    | Test  Loss: 0.7783 | Test  Acc: 0.7636
============ Train epoch 18 ============
 MNIST      | Train Loss: 0.0387 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.1675 | Train Acc: 0.9960
 USPS       | Train Loss: 0.0386 | Train Acc: 0.9987
 SynthDigits| Train Loss: 0.1057 | Train Acc: 0.9973
