nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 SynthDigits| Test  Loss: 0.6718 | Test  Acc: 0.7925
 MNIST-M    | Test  Loss: 0.8177 | Test  Acc: 0.7484
============ Train epoch 17 ============
 MNIST      | Train Loss: 0.0535 | Train Acc: 0.9973
 SVHN       | Train Loss: 0.6096 | Train Acc: 0.9044
 USPS       | Train Loss: 0.0857 | Train Acc: 0.9825
 SynthDigits| Train Loss: 0.1833 | Train Acc: 0.9852
 MNIST-M    | Train Loss: 0.1688 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1911 | Test  Acc: 0.9499
 SVHN       | Test  Loss: 1.2328 | Test  Acc: 0.6123
 USPS       | Test  Loss: 0.2295 | Test  Acc: 0.9317
 SynthDigits| Test  Loss: 0.7365 | Test  Acc: 0.7659
 MNIST-M    | Test  Loss: 0.7931 | Test  Acc: 0.7547
============ Train epoch 18 ============
 MNIST      | Train Loss: 0.0628 | Train Acc: 0.9960
 SVHN       | Train Loss: 0.5993 | Train Acc: 0.9044
 USPS       | Train Loss: 0.0594 | Train Acc: 0.9973
 SynthDigits| Train Loss: 0.1486 | Train Acc: 0.9906
 MNIST-M    | Train Loss: 0.1693 | Train Acc: 0.9919
 MNIST      | Test  Loss: 0.2024 | Test  Acc: 0.9411
 SVHN       | Test  Loss: 1.2178 | Test  Acc: 0.6160
 USPS       | Test  Loss: 0.2009 | Test  Acc: 0.9478
 SynthDigits| Test  Loss: 0.6761 | Test  Acc: 0.7894
 MNIST-M    | Test  Loss: 0.8369 | Test  Acc: 0.7326
============ Train epoch 19 ============
 MNIST      | Train Loss: 0.0487 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.5555 | Train Acc: 0.9112
 USPS       | Train Loss: 0.0709 | Train Acc: 0.9838
 SynthDigits| Train Loss: 0.1514 | Train Acc: 0.9879
