nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 MNIST-M    | Train Loss: 0.2592 | Train Acc: 0.9892
 MNIST      | Test  Loss: 0.2106 | Test  Acc: 0.9411
 SVHN       | Test  Loss: 1.3124 | Test  Acc: 0.5798
 USPS       | Test  Loss: 0.2262 | Test  Acc: 0.9425
 SynthDigits| Test  Loss: 0.7130 | Test  Acc: 0.7853
 MNIST-M    | Test  Loss: 0.8535 | Test  Acc: 0.7361
============ Train epoch 14 ============
 MNIST      | Train Loss: 0.0861 | Train Acc: 0.9865
 SVHN       | Train Loss: 0.8168 | Train Acc: 0.8008
 USPS       | Train Loss: 0.1244 | Train Acc: 0.9690
 SynthDigits| Train Loss: 0.2253 | Train Acc: 0.9798
 MNIST-M    | Train Loss: 0.2231 | Train Acc: 0.9919
 MNIST      | Test  Loss: 0.2332 | Test  Acc: 0.9322
 SVHN       | Test  Loss: 1.3539 | Test  Acc: 0.5581
 USPS       | Test  Loss: 0.2514 | Test  Acc: 0.9333
 SynthDigits| Test  Loss: 0.7310 | Test  Acc: 0.7706
 MNIST-M    | Test  Loss: 0.8444 | Test  Acc: 0.7310
============ Train epoch 15 ============
 MNIST      | Train Loss: 0.0618 | Train Acc: 0.9960
 SVHN       | Train Loss: 0.6483 | Train Acc: 0.8883
 USPS       | Train Loss: 0.0907 | Train Acc: 0.9798
 SynthDigits| Train Loss: 0.1732 | Train Acc: 0.9865
 MNIST-M    | Train Loss: 0.2149 | Train Acc: 0.9879
 MNIST      | Test  Loss: 0.1973 | Test  Acc: 0.9449
 SVHN       | Test  Loss: 1.2352 | Test  Acc: 0.6114
 USPS       | Test  Loss: 0.2216 | Test  Acc: 0.9430
 SynthDigits| Test  Loss: 0.6772 | Test  Acc: 0.7943
 MNIST-M    | Test  Loss: 0.8433 | Test  Acc: 0.7294
============ Train epoch 16 ============
 MNIST      | Train Loss: 0.0727 | Train Acc: 0.9960
 SVHN       | Train Loss: 0.6007 | Train Acc: 0.9273
 USPS       | Train Loss: 0.0889 | Train Acc: 0.9892
 SynthDigits| Train Loss: 0.1701 | Train Acc: 0.9879
 MNIST-M    | Train Loss: 0.2227 | Train Acc: 0.9919
 MNIST      | Test  Loss: 0.1931 | Test  Acc: 0.9519
 SVHN       | Test  Loss: 1.1918 | Test  Acc: 0.6327
 USPS       | Test  Loss: 0.2248 | Test  Acc: 0.9392
 SynthDigits| Test  Loss: 0.6729 | Test  Acc: 0.7942
 MNIST-M    | Test  Loss: 0.8425 | Test  Acc: 0.7372
============ Train epoch 17 ============
 MNIST      | Train Loss: 0.0596 | Train Acc: 0.9960
 SVHN       | Train Loss: 0.6271 | Train Acc: 0.8937
 USPS       | Train Loss: 0.0857 | Train Acc: 0.9812
 SynthDigits| Train Loss: 0.1808 | Train Acc: 0.9838
 MNIST-M    | Train Loss: 0.1879 | Train Acc: 0.9946
 MNIST      | Test  Loss: 0.1969 | Test  Acc: 0.9484
 SVHN       | Test  Loss: 1.2268 | Test  Acc: 0.6179
 USPS       | Test  Loss: 0.2297 | Test  Acc: 0.9339
 SynthDigits| Test  Loss: 0.7295 | Test  Acc: 0.7690
 MNIST-M    | Test  Loss: 0.8164 | Test  Acc: 0.7431
============ Train epoch 18 ============
 MNIST      | Train Loss: 0.0627 | Train Acc: 0.9973
 SVHN       | Train Loss: 0.5958 | Train Acc: 0.9112
 USPS       | Train Loss: 0.0548 | Train Acc: 0.9987
 SynthDigits| Train Loss: 0.1395 | Train Acc: 0.9919
 MNIST-M    | Train Loss: 0.1463 | Train Acc: 0.9960
 MNIST      | Test  Loss: 0.2008 | Test  Acc: 0.9424
 SVHN       | Test  Loss: 1.2154 | Test  Acc: 0.6138
 USPS       | Test  Loss: 0.1928 | Test  Acc: 0.9478
 SynthDigits| Test  Loss: 0.6683 | Test  Acc: 0.7918
 MNIST-M    | Test  Loss: 0.8023 | Test  Acc: 0.7436
============ Train epoch 19 ============
 MNIST      | Train Loss: 0.0543 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.5587 | Train Acc: 0.9017
 USPS       | Train Loss: 0.0678 | Train Acc: 0.9852
 SynthDigits| Train Loss: 0.1542 | Train Acc: 0.9892
 MNIST-M    | Train Loss: 0.1460 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1813 | Test  Acc: 0.9533
 SVHN       | Test  Loss: 1.2164 | Test  Acc: 0.6079
 USPS       | Test  Loss: 0.2147 | Test  Acc: 0.9376
 SynthDigits| Test  Loss: 0.7017 | Test  Acc: 0.7793
 MNIST-M    | Test  Loss: 0.8023 | Test  Acc: 0.7426
============ Train epoch 20 ============
 MNIST      | Train Loss: 0.0559 | Train Acc: 0.9973
 SVHN       | Train Loss: 0.5586 | Train Acc: 0.8883
 USPS       | Train Loss: 0.0546 | Train Acc: 0.9906
 SynthDigits| Train Loss: 0.1239 | Train Acc: 0.9919
 MNIST-M    | Train Loss: 0.1070 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1805 | Test  Acc: 0.9524
 SVHN       | Test  Loss: 1.2381 | Test  Acc: 0.5964
 USPS       | Test  Loss: 0.2065 | Test  Acc: 0.9435
 SynthDigits| Test  Loss: 0.6660 | Test  Acc: 0.7892
 MNIST-M    | Test  Loss: 0.7526 | Test  Acc: 0.7640
============ Train epoch 21 ============
 MNIST      | Train Loss: 0.0524 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.5111 | Train Acc: 0.9246
 USPS       | Train Loss: 0.0456 | Train Acc: 0.9919
 SynthDigits| Train Loss: 0.1061 | Train Acc: 0.9960
 MNIST-M    | Train Loss: 0.1276 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1856 | Test  Acc: 0.9461
 SVHN       | Test  Loss: 1.1729 | Test  Acc: 0.6256
 USPS       | Test  Loss: 0.1921 | Test  Acc: 0.9489
 SynthDigits| Test  Loss: 0.6492 | Test  Acc: 0.7960
 MNIST-M    | Test  Loss: 0.8108 | Test  Acc: 0.7336
============ Train epoch 22 ============
 MNIST      | Train Loss: 0.0331 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.5578 | Train Acc: 0.8883
 USPS       | Train Loss: 0.0649 | Train Acc: 0.9865
 SynthDigits| Train Loss: 0.1215 | Train Acc: 0.9906
 MNIST-M    | Train Loss: 0.0897 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1590 | Test  Acc: 0.9561
 SVHN       | Test  Loss: 1.2815 | Test  Acc: 0.5816
 USPS       | Test  Loss: 0.2050 | Test  Acc: 0.9441
 SynthDigits| Test  Loss: 0.6768 | Test  Acc: 0.7819
 MNIST-M    | Test  Loss: 0.7283 | Test  Acc: 0.7654
============ Train epoch 23 ============
 MNIST      | Train Loss: 0.0421 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.4783 | Train Acc: 0.9300
 USPS       | Train Loss: 0.0440 | Train Acc: 0.9933
 SynthDigits| Train Loss: 0.1054 | Train Acc: 0.9933
 MNIST-M    | Train Loss: 0.1051 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1645 | Test  Acc: 0.9544
 SVHN       | Test  Loss: 1.2042 | Test  Acc: 0.6101
 USPS       | Test  Loss: 0.1970 | Test  Acc: 0.9457
 SynthDigits| Test  Loss: 0.6498 | Test  Acc: 0.7938
 MNIST-M    | Test  Loss: 0.7521 | Test  Acc: 0.7546
============ Train epoch 24 ============
 MNIST      | Train Loss: 0.0320 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.5554 | Train Acc: 0.8614
 USPS       | Train Loss: 0.0521 | Train Acc: 0.9933
 SynthDigits| Train Loss: 0.1165 | Train Acc: 0.9879
 MNIST-M    | Train Loss: 0.0964 | Train Acc: 0.9946
 MNIST      | Test  Loss: 0.1619 | Test  Acc: 0.9570
 SVHN       | Test  Loss: 1.3016 | Test  Acc: 0.5698
 USPS       | Test  Loss: 0.2061 | Test  Acc: 0.9382
 SynthDigits| Test  Loss: 0.6906 | Test  Acc: 0.7787
 MNIST-M    | Test  Loss: 0.7463 | Test  Acc: 0.7568
============ Train epoch 25 ============
 MNIST      | Train Loss: 0.0464 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.4267 | Train Acc: 0.9529
 USPS       | Train Loss: 0.0479 | Train Acc: 0.9933
 SynthDigits| Train Loss: 0.0881 | Train Acc: 0.9960
 MNIST-M    | Train Loss: 0.1093 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1806 | Test  Acc: 0.9520
 SVHN       | Test  Loss: 1.1704 | Test  Acc: 0.6203
 USPS       | Test  Loss: 0.1908 | Test  Acc: 0.9489
 SynthDigits| Test  Loss: 0.6473 | Test  Acc: 0.7951
 MNIST-M    | Test  Loss: 0.8013 | Test  Acc: 0.7408
============ Train epoch 26 ============
 MNIST      | Train Loss: 0.0810 | Train Acc: 0.9946
 SVHN       | Train Loss: 0.4515 | Train Acc: 0.9300
 USPS       | Train Loss: 0.0408 | Train Acc: 0.9960
 SynthDigits| Train Loss: 0.0928 | Train Acc: 0.9960
 MNIST-M    | Train Loss: 0.1326 | Train Acc: 0.9933
 MNIST      | Test  Loss: 0.2078 | Test  Acc: 0.9462
 SVHN       | Test  Loss: 1.1896 | Test  Acc: 0.6129
 USPS       | Test  Loss: 0.1772 | Test  Acc: 0.9495
 SynthDigits| Test  Loss: 0.6634 | Test  Acc: 0.7896
 MNIST-M    | Test  Loss: 0.8530 | Test  Acc: 0.7209
============ Train epoch 27 ============
 MNIST      | Train Loss: 0.0484 | Train Acc: 0.9973
