nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 MNIST-M    | Test  Loss: 0.8170 | Test  Acc: 0.7473
============ Train epoch 12 ============
 MNIST      | Train Loss: 0.0994 | Train Acc: 0.9933
 SVHN       | Train Loss: 0.3650 | Train Acc: 0.9462
 USPS       | Train Loss: 0.0704 | Train Acc: 0.9960
 SynthDigits| Train Loss: 0.2150 | Train Acc: 0.9812
 MNIST-M    | Train Loss: 0.1754 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.2339 | Test  Acc: 0.9433
 SVHN       | Test  Loss: 1.1285 | Test  Acc: 0.6360
 USPS       | Test  Loss: 0.2064 | Test  Acc: 0.9527
 SynthDigits| Test  Loss: 0.7479 | Test  Acc: 0.7683
 MNIST-M    | Test  Loss: 0.7813 | Test  Acc: 0.7579
============ Train epoch 13 ============
 MNIST      | Train Loss: 0.0660 | Train Acc: 0.9973
 SVHN       | Train Loss: 0.3503 | Train Acc: 0.9596
 USPS       | Train Loss: 0.0497 | Train Acc: 0.9987
 SynthDigits| Train Loss: 0.1792 | Train Acc: 0.9879
 MNIST-M    | Train Loss: 0.1746 | Train Acc: 0.9919
 MNIST      | Test  Loss: 0.2010 | Test  Acc: 0.9503
 SVHN       | Test  Loss: 1.0970 | Test  Acc: 0.6592
 USPS       | Test  Loss: 0.1816 | Test  Acc: 0.9543
 SynthDigits| Test  Loss: 0.7157 | Test  Acc: 0.7788
 MNIST-M    | Test  Loss: 0.8033 | Test  Acc: 0.7474
============ Train epoch 14 ============
 MNIST      | Train Loss: 0.0936 | Train Acc: 0.9946
 SVHN       | Train Loss: 0.2969 | Train Acc: 0.9865
 USPS       | Train Loss: 0.0895 | Train Acc: 0.9865
 SynthDigits| Train Loss: 0.1572 | Train Acc: 0.9933
 MNIST-M    | Train Loss: 0.1418 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.2489 | Test  Acc: 0.9319
 SVHN       | Test  Loss: 1.0694 | Test  Acc: 0.6701
 USPS       | Test  Loss: 0.2209 | Test  Acc: 0.9473
 SynthDigits| Test  Loss: 0.6978 | Test  Acc: 0.7859
 MNIST-M    | Test  Loss: 0.7585 | Test  Acc: 0.7681
============ Train epoch 15 ============
 MNIST      | Train Loss: 0.0447 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.2441 | Train Acc: 0.9812
 USPS       | Train Loss: 0.0463 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.1328 | Train Acc: 0.9960
